#entity	document	start	end	text	comment
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19818	62	67	mouse	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19818	475	480	mouse	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19818	1126	1131	mouse	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19820	372	377	mouse	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19822	500	505	mouse	
species:ncbi:8355	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19824	495	509	Xenopus laevis	
species:ncbi:10116	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19826	379	382	rat	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19828	547	552	mouse	
species:ncbi:10116	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19830	103	106	rat	
species:ncbi:10095?0.6245074762404008|species:ncbi:10090?0.3754925237595992	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19834	358	362	mice	
species:ncbi:9669	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19840	66	72	ferret	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19844	321	326	mouse	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19848	898	903	mouse	
species:ncbi:10116	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19850	319	323	rats	
species:ncbi:10095?0.6245074762404008|species:ncbi:10090?0.3754925237595992	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19852	582	586	mice	
species:ncbi:10116	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19854	546	549	rat	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19856	179	183	mice	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19856	588	592	mice	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19856	1036	1041	mouse	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19860	165	170	human	
species:ncbi:9669	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19862	91	97	ferret	
species:ncbi:9669	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19862	275	281	ferret	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19864	559	564	mouse	
species:ncbi:10116	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19868	808	812	rats	
species:ncbi:7955	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19870	482	491	zebrafish	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19872	269	275	humans	
species:ncbi:7955	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19874	1000	1009	zebrafish	
species:ncbi:8364	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19876	768	786	Xenopus tropicalis	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19884	803	808	Mouse	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19884	1073	1078	Human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19884	1155	1160	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19898	41	46	human	
species:ncbi:10116	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19900	376	380	rats	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19902	451	456	mouse	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19902	466	471	human	
species:ncbi:10116	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19904	443	446	rat	
species:ncbi:10116	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19906	307	310	rat	
species:ncbi:10116	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19908	68	71	rat	
species:ncbi:10116	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19912	379	382	rat	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19914	67	72	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19914	147	152	human	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19914	701	707	humans	
species:ncbi:10095?0.6245074762404008|species:ncbi:10090?0.3754925237595992	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19922	373	377	mice	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19924	104	110	humans	
species:ncbi:10095?0.6245074762404008|species:ncbi:10090?0.3754925237595992	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19924	456	460	mice	
species:ncbi:10116	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19926	285	288	rat	
species:ncbi:6239?0.9941157201266637|species:ncbi:4853?0.004391977967314949|species:ncbi:124036?0.0011525909030246412|species:ncbi:314391?3.3971100299673635E-4	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19928	77	87	C. elegans	
species:ncbi:6239?0.9941157201266637|species:ncbi:4853?0.004391977967314949|species:ncbi:124036?0.0011525909030246412|species:ncbi:314391?3.3971100299673635E-4	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19928	363	373	C. elegans	
species:ncbi:6239?0.9941157201266637|species:ncbi:4853?0.004391977967314949|species:ncbi:124036?0.0011525909030246412|species:ncbi:314391?3.3971100299673635E-4	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19928	765	775	C. elegans	
species:ncbi:6239?0.9941157201266637|species:ncbi:4853?0.004391977967314949|species:ncbi:124036?0.0011525909030246412|species:ncbi:314391?3.3971100299673635E-4	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19928	822	832	C. elegans	
species:ncbi:6239?0.9941157201266637|species:ncbi:4853?0.004391977967314949|species:ncbi:124036?0.0011525909030246412|species:ncbi:314391?3.3971100299673635E-4	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19928	931	941	C. elegans	
species:ncbi:10116	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19944	678	681	rat	
species:ncbi:10116	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19946	387	391	rats	
species:ncbi:7757	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19948	337	355	Petromyzon marinus	
species:ncbi:10095?0.6245074762404008|species:ncbi:10090?0.3754925237595992	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19950	408	412	mice	
species:ncbi:10095?0.6245074762404008|species:ncbi:10090?0.3754925237595992	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19952	520	524	mice	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19954	86	91	human	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19956	64	69	mouse	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19956	100	104	mice	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19956	347	352	mouse	
species:ncbi:7955	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19958	76	85	zebrafish	
species:ncbi:7955	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19958	597	606	zebrafish	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19960	313	318	mouse	
species:ncbi:10095?0.6245074762404008|species:ncbi:10090?0.3754925237595992	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19962	605	609	mice	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19964	321	327	humans	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19966	361	366	mouse	
species:ncbi:6239?0.9941157201266637|species:ncbi:4853?0.004391977967314949|species:ncbi:124036?0.0011525909030246412|species:ncbi:314391?3.3971100299673635E-4	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19968	0	10	C. elegans	
species:ncbi:6239?0.9941157201266637|species:ncbi:4853?0.004391977967314949|species:ncbi:124036?0.0011525909030246412|species:ncbi:314391?3.3971100299673635E-4	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19968	121	131	C. elegans	
species:ncbi:6239?0.9941157201266637|species:ncbi:4853?0.004391977967314949|species:ncbi:124036?0.0011525909030246412|species:ncbi:314391?3.3971100299673635E-4	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19968	310	320	C. elegans	
species:ncbi:6239?0.9941157201266637|species:ncbi:4853?0.004391977967314949|species:ncbi:124036?0.0011525909030246412|species:ncbi:314391?3.3971100299673635E-4	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19968	613	623	C. elegans	
species:ncbi:6239?0.9941157201266637|species:ncbi:4853?0.004391977967314949|species:ncbi:124036?0.0011525909030246412|species:ncbi:314391?3.3971100299673635E-4	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19968	1106	1116	C. elegans	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19970	19	24	mouse	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19970	341	346	mouse	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19970	875	879	mice	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19972	20	25	human	group: 0, valid: true
species:ncbi:9669	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19972	30	36	ferret	group: 0, valid: true
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19972	300	305	human	
species:ncbi:9669	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19972	724	730	ferret	
species:ncbi:9669	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19972	830	836	ferret	
species:ncbi:9669	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19972	988	994	ferret	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19988	380	385	mouse	
species:ncbi:272636	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19990	427	449	adeno-associated virus	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19990	650	655	mouse	
species:ncbi:10116	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19992	678	681	rat	
species:ncbi:10095?0.6245074762404008|species:ncbi:10090?0.3754925237595992	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19994	399	403	mice	
species:ncbi:6239	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19996	75	85	C. elegans	
species:ncbi:6239	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19996	301	323	Caenorhabditis elegans	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19998	618	623	mouse	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_19998	652	658	humans	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20000	475	479	mice	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20000	612	617	mouse	
species:ncbi:10116	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20002	338	342	rats	
species:ncbi:6239	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20006	55	77	Caenorhabditis elegans	
species:ncbi:6239	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20006	312	322	C. elegans	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20008	539	544	mouse	
species:ncbi:10116	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20028	658	661	rat	
species:ncbi:10116	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20030	90	94	rats	
species:ncbi:10116	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20030	468	472	rats	
species:ncbi:10116	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20030	649	653	rats	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20030	679	685	humans	
species:ncbi:10116	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20030	881	885	rats	
species:ncbi:10116	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20032	362	366	rats	
species:ncbi:10116	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20034	329	332	rat	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20036	53	58	mouse	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20036	305	309	mice	
species:ncbi:10116	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20038	410	413	rat	
species:ncbi:7227	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20040	72	95	Drosophila melanogaster	
species:ncbi:7227	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20040	314	337	Drosophila melanogaster	
species:ncbi:7955	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20042	348	357	zebrafish	
species:ncbi:10095?0.6245074762404008|species:ncbi:10090?0.3754925237595992	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20044	411	415	mice	
species:ncbi:10095?0.6245074762404008|species:ncbi:10090?0.3754925237595992	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20044	651	655	mice	
species:ncbi:10095?0.6245074762404008|species:ncbi:10090?0.3754925237595992	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20044	723	727	mice	
species:ncbi:10095?0.6245074762404008|species:ncbi:10090?0.3754925237595992	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20048	271	275	mice	
species:ncbi:10095?0.6245074762404008|species:ncbi:10090?0.3754925237595992	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20048	394	398	mice	
species:ncbi:10095?0.6245074762404008|species:ncbi:10090?0.3754925237595992	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20048	576	580	mice	
species:ncbi:10116	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20050	327	331	rats	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20052	195	200	human	
species:ncbi:10116	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20054	617	621	rats	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20060	480	485	human	
species:ncbi:10116	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20062	444	447	rat	
species:ncbi:10095?0.6245074762404008|species:ncbi:10090?0.3754925237595992	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20064	208	212	mice	
species:ncbi:10095?0.6245074762404008|species:ncbi:10090?0.3754925237595992	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20064	272	276	mice	
species:ncbi:10095?0.6245074762404008|species:ncbi:10090?0.3754925237595992	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20064	951	955	mice	
species:ncbi:43179	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20066	304	333	Spermophilus tridecemlineatus	
species:ncbi:10095?0.6245074762404008|species:ncbi:10090?0.3754925237595992	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20080	305	309	mice	
species:ncbi:9685	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20082	516	520	cats	
species:ncbi:10116	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20084	472	475	rat	
species:ncbi:10095?0.6245074762404008|species:ncbi:10090?0.3754925237595992	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20086	394	398	mice	
species:ncbi:10095?0.6245074762404008|species:ncbi:10090?0.3754925237595992	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20086	657	661	mice	
species:ncbi:10116	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20090	547	550	rat	
species:ncbi:10116	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20092	509	512	rat	
species:ncbi:7227	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20094	297	320	Drosophila melanogaster	
species:ncbi:10095?0.6245074762404008|species:ncbi:10090?0.3754925237595992	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20096	324	328	mice	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20098	207	212	mouse	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20098	275	279	mice	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20098	462	466	mice	group: 0, valid: true
species:ncbi:10116	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20098	471	475	rats	group: 0, valid: true
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20100	55	60	mouse	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20100	489	493	mice	
species:ncbi:10116	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20102	393	396	rat	
species:ncbi:10095?0.6245074762404008|species:ncbi:10090?0.3754925237595992	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20104	787	791	mice	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20106	44	49	mouse	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20106	410	415	mouse	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20124	422	427	mouse	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20124	508	513	mouse	
species:ncbi:10095?0.6245074762404008|species:ncbi:10090?0.3754925237595992	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20128	555	559	mice	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20130	392	397	mouse	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20132	523	528	mouse	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20132	650	655	mouse	
species:ncbi:10116	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20136	482	485	rat	
species:ncbi:10095?0.6245074762404008|species:ncbi:10090?0.3754925237595992	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20138	458	462	mice	
species:ncbi:10116	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20140	150	153	rat	
species:ncbi:9669	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20142	679	686	ferrets	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20144	248	254	humans	
species:ncbi:10095?0.6245074762404008|species:ncbi:10090?0.3754925237595992	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20144	286	290	mice	
species:ncbi:10116	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20146	588	592	rats	
species:ncbi:31931	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20146	688	698	retrovirus	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20148	527	532	mouse	
species:ncbi:10116	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20150	565	568	rat	
species:ncbi:41568	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20150	728	731	mum	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20164	586	591	mouse	
species:ncbi:9606	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20166	67	72	human	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20168	85	90	mouse	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20168	134	138	mice	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20168	331	335	mice	
species:ncbi:10090	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20168	827	832	mouse	
species:ncbi:10116	file.---Users-erickpeirson-Model-Organisms-in-Neuroscience-data-RDF-ActaNeuropathologica.rdf#item_20176	219	223	rats	
